month,GDP,HDB_resale_vol
2023 Feb,130024.7,1843
2023 Jan,130024.7,2560
2022 Dec,132329.6,2237
2022 Nov,132329.6,2132
2022 Oct,132329.6,1961
2022 Sep,130721.7,2580
2022 Aug,130721.7,2309
2022 Jul,130721.7,2361
2022 Jun,129752.2,2135
2022 May,129752.2,2154
2022 Apr,129752.2,2262
2022 Mar,129229.4,2262
2022 Feb,129229.4,1895
2022 Jan,129229.4,2442
2021 Dec,129595.9,2422
2021 Nov,129595.9,2566
2021 Oct,129595.9,2499
2021 Sep,125666.5,2516
2021 Aug,125666.5,2739
2021 Jul,125666.5,2659
2021 Jun,124181.1,2302
2021 May,124181.1,1957
2021 Apr,124181.1,2333
2021 Mar,124220.9,2443
2021 Feb,124220.9,2160
2021 Jan,124220.9,2491
2020 Dec,121524.4,2486
2020 Nov,121524.4,2322
2020 Oct,121524.4,2427
2020 Sep,115617.4,2482
2020 Aug,115617.4,2426
2020 Jul,115617.4,2456
2020 Jun,105891.7,2438
2020 May,105891.7,363
2020 Apr,105891.7,424
2020 Mar,119543.2,1937
2020 Feb,119543.2,1661
2020 Jan,119543.2,1911
2019 Dec,122234.8,1848
2019 Nov,122234.8,1910
2019 Oct,122234.8,2206
2019 Sep,120846,1830
2019 Aug,120846,1902
2019 Jul,120846,2114
2019 Jun,120214.7,1884
2019 May,120214.7,2070
2019 Apr,120214.7,1915
2019 Mar,118059.1,1653
2019 Feb,118059.1,1304
2019 Jan,118059.1,1550
2018 Dec,120529.1,1423
2018 Nov,120529.1,1866
2018 Oct,120529.1,1992
2018 Sep,119714.3,1985
2018 Aug,119714.3,2067
2018 Jul,119714.3,2539
2018 Jun,118543.6,1975
2018 May,118543.6,1740
2018 Apr,118543.6,1838
2018 Mar,116243.7,1881
2018 Feb,116243.7,1183
2018 Jan,116243.7,1072
2017 Dec,118610.4,1585
2017 Nov,118610.4,1980
2017 Oct,118610.4,1785
2017 Sep,115995.8,1680
2017 Aug,115995.8,1960
2017 Jul,115995.8,1780
2017 Jun,113065.8,1747
2017 May,113065.8,1980
2017 Apr,113065.8,1839
2017 Mar,110960.6,1903
2017 Feb,110960.6,1085
2017 Jan,110960.6,1185
2016 Dec,113512.1,1378
2016 Nov,113512.1,1580
2016 Oct,113512.1,1678
2016 Sep,110168.7,1668
2016 Aug,110168.7,1882
2016 Jul,110168.7,1572
2016 Jun,109054.2,1827
2016 May,109054.2,1829
2016 Apr,109054.2,1824
2016 Mar,105960.1,1655
2016 Feb,105960.1,1200
2016 Jan,105960.1,1280
2015 Dec,108239,1412
2015 Nov,108239,1470
2015 Oct,108239,1748
2015 Sep,106783.2,1498
2015 Aug,106783.2,1449
2015 Jul,106783.2,1551
2015 Jun,105849.7,1706
2015 May,105849.7,1567
2015 Apr,105849.7,1630
2015 Mar,102572.2,1348
2015 Feb,102572.2,1151
2015 Jan,102572.2,1250
2014 Dec,105931.8,1304
2014 Nov,105931.8,1351
2014 Oct,105931.8,1560
2014 Sep,103017.9,1472
2014 Aug,103017.9,1329
2014 Jul,103017.9,1352
2014 Jun,102643,1223
2014 May,102643,1447
2014 Apr,102643,1557
2014 Mar,99610.7,1444
2014 Feb,99610.7,959
2014 Jan,99610.7,1098
2013 Dec,101366.2,1008
2013 Nov,101366.2,1209
2013 Oct,101366.2,1391
2013 Sep,99385.2,1212
2013 Aug,99385.2,1354
2013 Jul,99385.2,1484
2013 Jun,99358.7,1317
2013 May,99358.7,1605
2013 Apr,99358.7,1692
2013 Mar,95523,1306
2013 Feb,95523,886
2013 Jan,95523,1633
2012 Dec,96455.2,1493
2012 Nov,96455.2,1735
2012 Oct,96455.2,1937
2012 Sep,93656.6,1760
2012 Aug,93656.6,2075
2012 Jul,93656.6,2179
2012 Jun,94982.9,1993
2012 May,94982.9,2323
2012 Apr,94982.9,2155
2012 Mar,92354.3,2360
2012 Feb,92354.3,1629
2012 Jan,92354.3,1559
2011 Dec,92084.3,1572
2011 Nov,92084.3,1745
2011 Oct,92084.3,1615
2011 Sep,91787.2,1790
2011 Aug,91787.2,1730
2011 Jul,91787.2,1996
2011 Jun,89460.8,2026
2011 May,89460.8,1958
2011 Apr,89460.8,1980
2011 Mar,88086,1991
2011 Feb,88086,1747
2011 Jan,88086,2131
2010 Dec,87464.6,2022
2010 Nov,87464.6,2208
2010 Oct,87464.6,2773
2010 Sep,85183.5,3002
2010 Aug,85183.5,3298
2010 Jul,85183.5,3679
2010 Jun,86924,3517
2010 May,86924,2812
2010 Apr,86924,3036
2010 Mar,80698.6,3264
2010 Feb,80698.6,2418
2010 Jan,80698.6,2825
2009 Dec,77216,2795
2009 Nov,77216,2853
2009 Oct,77216,3432
2009 Sep,77238.8,2916
2009 Aug,77238.8,2550
2009 Jul,77238.8,2672
2009 Jun,73277.9,2440
2009 May,73277.9,2222
2009 Apr,73277.9,2299
2009 Mar,69395.7,2480
2009 Feb,69395.7,1817
2009 Jan,69395.7,2006
2008 Dec,72296.6,2049
2008 Nov,72296.6,2424
2008 Oct,72296.6,2395
2008 Sep,75107.9,2492
2008 Aug,75107.9,2197
2008 Jul,75107.9,2458
2008 Jun,74147.7,2270
2008 May,74147.7,2178
2008 Apr,74147.7,2341
2008 Mar,75196.5,2145
2008 Feb,75196.5,2028
2008 Jan,75196.5,2285
2007 Dec,74862.4,1930
2007 Nov,74862.4,2322
2007 Oct,74862.4,2442
2007 Sep,75167.4,2361
2007 Aug,75167.4,2523
2007 Jul,75167.4,2364
2007 Jun,71768.4,2224
2007 May,71768.4,2164
2007 Apr,71768.4,2066
2007 Mar,69521.8,2364
2007 Feb,69521.8,1933
2007 Jan,69521.8,2289
2006 Dec,70218.4,1953
2006 Nov,70218.4,2284
2006 Oct,70218.4,2190
2006 Sep,67735.7,2418
2006 Aug,67735.7,2452
2006 Jul,67735.7,2400
2006 Jun,65220,2546
2006 May,65220,2406
2006 Apr,65220,2093
2006 Mar,64039.2,2463
2006 Feb,64039.2,2183
2006 Jan,64039.2,2039
2005 Dec,64698,2263
2005 Nov,64698,2408
2005 Oct,64698,2506
2005 Sep,62367.3,2512
2005 Aug,62367.3,2559
2005 Jul,62367.3,2375
2005 Jun,59959,2564
2005 May,59959,2320
2005 Apr,59959,2491
2005 Mar,58110.3,2977
2005 Feb,58110.3,2316
2005 Jan,58110.3,2754
2004 Dec,59272.8,2569
2004 Nov,59272.8,2426
2004 Oct,59272.8,2441
2004 Sep,57486.8,2382
2004 Aug,57486.8,2238
2004 Jul,57486.8,2321
2004 Jun,56432.5,2206
2004 May,56432.5,2143
2004 Apr,56432.5,2195
2004 Mar,55124,2775
2004 Feb,55124,2757
2004 Jan,55124,2659
2003 Dec,54979.7,3035
2003 Nov,54979.7,2801
2003 Oct,54979.7,2849
2003 Sep,53017.6,2423
2003 Aug,53017.6,2195
2003 Jul,53017.6,2273
2003 Jun,49717.3,2162
2003 May,49717.3,2272
2003 Apr,49717.3,2160
2003 Mar,49958.8,2270
2003 Feb,49958.8,1858
2003 Jan,49958.8,2705
2002 Dec,50497.4,2684
2002 Nov,50497.4,2831
2002 Oct,50497.4,3156
2002 Sep,50336.3,2749
2002 Aug,50336.3,2829
2002 Jul,50336.3,3282
2002 Jun,49845.5,2836
2002 May,49845.5,3298
2002 Apr,49845.5,3300
2002 Mar,47959.6,3115
2002 Feb,47959.6,2633
2002 Jan,47959.6,3385
2001 Dec,47604.4,3005
2001 Nov,47604.4,3349
2001 Oct,47604.4,3490
2001 Sep,47214,3220
2001 Aug,47214,3244
2001 Jul,47214,3398
2001 Jun,47825.5,3329
2001 May,47825.5,3106
2001 Apr,47825.5,3092
2001 Mar,48495.8,3147
2001 Feb,48495.8,2885
2001 Jan,48495.8,2790
2000 Dec,49955.5,2838
2000 Nov,49955.5,3324
2000 Oct,49955.5,3231
2000 Sep,49671.1,3088
2000 Aug,49671.1,3166
2000 Jul,49671.1,2988
2000 Jun,47584.6,3283
2000 May,47584.6,3230
2000 Apr,47584.6,2548
2000 Mar,45997.5,2467
2000 Feb,45997.5,2313
2000 Jan,45997.5,2386
